"gene","M-F_log2ratio","pval","chr","human_ortholog"
"ALG10B",0.108637440604628,0.134934841540557,"11","ALG10B"
"TP53I3",0.108558818770082,0.532821753239707,"13","TP53I3"
"RCBTB1",0.108493190125776,0.272826407649523,"17","RCBTB1"
"PIK3R2",0.108369041290612,0.180742149642635,"19","PIK3R2"
"PAPSS1",0.1082541404747,0.377601053953608,"5","PAPSS1"
"MCF2L",0.108219035683097,0.309256479851517,"17","MCF2L"
"LOC707457",0.107996005201041,0.0458795087828177,"16","C17orf85"
"CDC26",0.107964198321313,0.124442041446266,"15","CDC26"
"LOC722674",0.10791146307563,0.180567382781599,"1","KIF1B"
"CCNJL",0.107909771770522,0.158553890140081,"6",NA
"LOC712218",0.107691858103047,0.192831742942485,"6","TMEM167A"
"LOC707684",0.107677934660786,0.0994679785036576,"5","SPCS2"
"CYB5D2",0.107639744543375,0.389121619034176,"16","CYB5D2"
"LINS",0.107638094895525,0.139977978536626,"7","LINS"
"SERPINB9",0.10758810489431,0.0411914351345544,"4","SERPINB9"
"GTF2E1",0.107550036975727,0.107300163093402,"2","GTF2E1"
"CRYZ",0.107503450106735,0.324905027886763,"1","CRYZ"
"GNG5",0.107357895237948,0.062346151412733,"1","GNG5"
"RHCE",0.107212328525039,0.0351124984241522,"1","RHCE"
"SNAPC5",0.107094948395344,0.286947297983533,"7","SNAPC5"
"COL4A1",0.107094348262466,0.0154439177447802,"17","COL4A1"
"CDCA3",0.107076230434566,0.23590034140808,"11","CDCA3"
"F8A1",0.10706964158075,0.262820200765252,"X","F8A2"
"MECOM",0.106904679534706,0.151395345061916,"2","MECOM"
"CA14",0.10675157147366,0.259595390057163,"1","CA14"
"N6AMT2",0.106542849591018,0.137591866492227,"17","N6AMT2"
"TACC2",0.106472705907753,0.0795740597708074,"9","TACC2"
"LOC721855",0.106361944888072,0.182777773749434,"3","COL6A1"
