E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
CXCR4	LOC693542	LOC100427307	FAM198B	LOC705288	LOC719403	PERP	DNAJA4	GRID1	IQCK	AVPR1A	LOC718491	RGS16	PLXNA2	ALS2	CBLN1	TPD52	LOC701759	RPL22	BHLHE40	ASB5	LOC693620	AREGB	HOXD1	IFITM1	GLT8D2	SLC18A2	PDE9A2	LGR5	CDH19	GALNTL1	BAHD1	LOC697171	GALNT14	LOC700181	NDRG1	TNFRSF19	LOC717032	LOC574319	PDE3B	FOXP2	TPPP3
SP8	FUT8	NEU1	RNF41	ZFPM2	LOC100430565	FIGN	PTPRE	UNC50	SLITRK4	NR4A2	ALPK1	MEAF6	NPY1R	USP2	LOC695591	NAP1L2	C5AR1	LOC713416	SNX2	LOC696091	LOC712288	MCTP1	SEPT10	MAMU-DPB	FAM196B	LOC699119	LOC711450	SSBP2	MOSPD2	HKDC1	SLC25A27	MMP3	HPCA	LOC693900	SPTLC1	LOC721120	PID1	LOC697171	WNT7B	HS3ST5	SLC45A3
INSM2	LOC701463	NPPA	LOC713016	GPR63	TNRC6A	SP8	NEO1	KIF16B	COCH	TACR3	LOC696140	EIF4EBP2	SFMBT2	CALB1	FAM84A	LOC716580	NEU4	LOC717414	TYW1	PPT1	TMEM40	AVPR1A	LOC715193	C7	DGKA	CARS2	LOC713590	HTR2C	LOC710721	LOC717999	CDC40	NDST4	HEXIM1	LRRTM2	PPP2R3A	SLC25A34	LOC711218	HINT2	LOC704029	TBC1D8B	COL2A1
LOC709521	PLCL1	LOC705624	LOC100425156	NOL4	KREMEN1	LOC678699	CHN2	PVRL1	GRM8	PTPRU	LOC716146	NPAS1	LOC693342	LOC719721	LOC717534	NR4A2	TST	CA8	DUSP23	LOC574390	HIST1H2BH	LOC697480	ENOSF1	ISYNA1	STC2	FHOD1	C1S	SLC7A14	ST18	LOC711599	LOC703716	ABI3BP	CRYM	TRPA1	PDE8A	CDH5	ARPC2	RET	LOC721007	DNAJC10	MPL
CMTM7	PRDX4	C11H12orf52	LOC715864	CRY2	ROBO1	SLC6A1	ZFP90	LETMD1	SGSM1	ROPN1L	HAS3	LOC706465	ABCD3	KIF16B	GREB1L	ABHD6	LOC699631	LOC718556	LOC695085	RACGAP1	DNPEP	GLCE	SLC31A2	LOC712710	SH3RF2	LRRTM1	CPB1	MAMDC2	ENPP4	FGFR3	ART3	STC1	FXYD6	MTCH2	NEDD1	LOC100425520	ZNF708	RIPK4	LOC721010	HS3ST4	LASS2
DCN	ITPR1	LOC707640	ERF	LOC717955	ST18	DLX1	WWP2	CGRRF1	C2H3orf58	GPR126	CXHXorf38	ZNF496	SLC35F4	GDF5	UST	EGR2	CD48	RPLP0	LOC696649	SMYD2	SHH	TESC	LOC704518	LOC712536	PLXDC2	IFT122	SPATA22	ZNF658	LIPA	CHP2	LOC100426768	LOC712305	LOC100430175	LOC718265	ZDHHC9	IGFBP4	TRIM11	CISH	RAB20	COL25A1	LOC710527
CD9	MBLAC2	CDH9	ESRRG	PDE1A	ARNT	GALNTL6	TYRO3	SMAD7	KLHL1	DRD5	LOC710350	KERA	ZNF608	C3H7orf45	BARD1	LOC100428250	MAP7D3	SULT1E1	RGL1	TXNDC11	BRPF1	STIM1	STRN	CASP8	COL5A2	MPP7	KRBA1	LCLAT1	CLDND1	LYVE1	WDR16	RUNX2	HES6	TMEM74	TMEM31	NHS	LOC708561	RBMS1	ZYX	SOCS5	SOX8
LOC100423462	GCA	TRO	PCDHA11	LOC708778	NEXN	LOC100430777	KIAA0195	ZDHHC14	LOC699417	LOC705767	PPP2R2B	WFIKKN2	PLXDC2	SERTAD2	PDGFA	B3GALT2	C3	DCN	LOC708067	LRRC8B	LOC697505	FAM46A	C14H11orf9	MMP16	CXCL12	CYP19A1	CRYM	INPP5F	FAM222A	PLAC9	SIAH2	UMODL1	LOC695487	GRAMD2	GALNT6	GSTM2	LOC703716	LOC696152	LOC695487	FAT2	LIPA
TLE2	FNBP1L	PLS1	CDH13	LGI1	SEMA4D	LPAR1	LOC100427527	ZBTB6	LOC722206	PCDH9	LOC100426375	CYP4F12	MB21D2	GLRA3	NOX3	PEX5L	RASAL1	TRIM8	LOC703781	LOC709733	NUAK2	MCHR1	LOC719693	ABI3	LOC695085	LOC574319	AQP3	RAB3IP	LOC100430625	LOC100423984	LOC100428564	FHDC1	IRX3	LOC713545	LOC100429378	LOC717414	BICC1	TPM2	HS3ST2	MME	LOC100429378
RPS15	MTHFD2L	FAM134A	LOC715339	LOC700450	PDCL	ZC3H13	NFASC	ZBTB34	TET2	LOC699649	SEPT2	HDAC5	ATM	IMMP1L	LOC100426700	CDH22	SPSB1	PLN	SNTG2	PPM1J	NTNG2	CBLN2	CNTN2	RBPMS	ADAMTS5	LOC716232	HTR3A	EXD1	NEDD1	VSIG4	CALB1	OSBPL2	LRRK1	MAML3	LOC100429414	BMP7	VIP	C7H14orf1	NFKBIZ	MTCH2	PRKCQ
LOC700580	HEBP2	SEC61A1	LOC693620	GABRQ	LOC712238	HAPLN1	ALDH1B1	AADAT	LOC100423985	CDK5R2	FAM13A	MAP2K2	FUT4	FRAS1	SLIT2	ZNF503	ITGB5	LOC693947	SCN9A	LOC100424880	LOC100423696	RTP1	KCNJ2	ZNRF3	PIAS1	WNT16	ADCK4	SPINK5	GPD1	ABLIM1	SRPK1	STARD5	MGLL	SRPX2	FLNB	LOC722617	CHRDL2	C2CD2	VPS35	PRIM2	MBOAT1
CNTNAP4	MRPL33	KCNF1	RASGEF1C	IL34	AK4	ELFN1	MRAS	LOC717534	TRMT11	LOC695986	LOC695843	NR2F2	DAB1	GALNTL4	LOC713590	TPP2	APH1B	TNFSF10	SPATS2L	TMEM132C	LOC710077	LOC714174	DLL3	VSIG4	IRX6	TNMD	LOC696983	SSTR2	LOC100423261	MRGPRF	LOC706473	EOMES	GLIPR1	XCL1	CLDND1	LOC697794	SPECC1	NFKBIE	CDR2	FIGN	SGK3
LOC720233	VASH2	KLF9	GLDC	CYP26A1	THSD7A	ZNF536	LOC100424198	LOC718705	KCTD8	LOC100430346	C14H11orf30	COL2A1	TMOD1	SCN7A	C2CD2	ST6GAL2	LOC715264	MS4A7	LOC708601	FLRT3	ADAMTS9	ADAMTS3	LOC710721	EZR	PSRC1	SDR16C5	CMTM2	NR4A2	PDE8A	RGR	TADA2A	ELOVL7	C11H3orf37	SCG3	LOC708730	AGXT2L1	ALOX12B	FHOD1	RPRM	LOC713688	GAL3ST1
ANXA2	KCNJ3	ZDHHC14	LMO3	LHFPL2	BTG2	COL2A1	LOC721973	HSPB3	ZNF658	KCNS2	LOC699173	RBCK1	LOC100423631	CAMK2D	GALNT14	WNT16	EPB41L2	PYGM	AKAP14	SLC20A2	NR1D1	LRMP	ATP6V0A2	LOC714658	BAHD1	LOC574390	USP20	GADL1	LOC721004	SOX17	LOC719049	WDR59	BNIP3L	LOC100425255	ROPN1B	FZD4	TYRO3	MET	HES6	RAMP3	MYO1D
RIMS3	LOC100426255	GNG5	TIAM1	KLHL3	LOC713582	RERG	PIP4K2C	LOC713262	LOC711865	LOC710818	TRPS1	DOCK10	LOC100430565	SMIM4	TC2N	CDKL2	LOC706046	LOC708526	PIP5K1B	TMEM67	GSS	OPRK1	OLFML2A	LOC100425520	BTG3	AADAT	EXTL1	DPY19L1	TTC32	EGFLAM	LIN9	PPM1J	LOC100424721	LOC701932	LOC703828	LOC701314	UBE2Q1	WDR59	STMN1	BIRC3	CDKN1C
CHCHD7	TRAPPC3	CNTN4	TRIB1	LOC100424360	LOC709993	LAMA4	LOC715666	LOC698663	RAB20	LOC717955	VCAN	RAPGEF1	ENTPD3	MFAP3L	PPP2R2C	RASL11B	ITM2C	EIF3H	HMGCS2	HHATL	SNIP	LOC704750	ROPN1B	ENHO	SPECC1	BTBD3	RAB20	HS3ST5	MYO1D	IVD	TMEM108	KCNH8	EWSR1	EED	ACE2	RNF43	DIAPH1	LOC574390	PLXDC1	KCNK3	CEP89
NDRG2	FRMD5	ARNTL2	EPB41L3	LOC100430941	C4H6orf62	RGN	LOC701463	PION	ABI3BP	WSCD1	ENPP6	LOC712033	ITPRIPL1	GPRIN3	LOC100428914	LOC100427632	MEST	CRIP1	LOC717624	WFDC2	POPDC2	CCDC147	LPAR1	RERGL	SSTR1	CPA6	ENTPD2	LOC699880	TMEM31	GPR56	LOC716520	RADIL	C10H20orf27	B3GALT2	GINS4	LRRC3	CRLF1	UMODL1	PDE6H	LOC711963	WNK1
LRP3	CNN3	MFAP3L	FST	LOC698852	WSB1	PDLIM5	LOC719898	CNRIP1	LOC100428292	LOC713590	LOC713582	RGS12	SSTR1	LOC710188	FGD6	KCNT2	LOC717153	RNASET2	LOC100427527	LOC716252	C1S	LOC718265	HIST1H2AC	HSPG2	LOC718015	MB21D2	BNIP3L	SCGB3A2	LASS2	ZNRF3	DSG3	LRRTM1	KCNT2	FGF11	THAP9	LOC716334	LOC695923	SNTG1	DRD2	LOC695023	MOB3B
CXCL14	CRYZL1	C16H17orf59	LOC714534	LOC694431	EDNRA	MMP28	LOC693342	LOC698904	RAB3IP	SV2B	LOC719403	LOC696742	ADAM22	ARHGAP10	ANO3	CACNA2D2	GDPD2	LOC718726	RFX3	DFNB31	SIT1	CD6	FA2H	SNTA1	DSG3	NSMAF	LOC703542	RTP1	LOC708030	LOC709084	CHCHD7	CCNA2	PLXNA3	ODZ1	NDE1	CHP2	OTOS	SLC6A7	CNTN6	PPP1R9A	CDKN2C
QARS	CEP72	SLC7A13	NR1I2	SLIT1	LIMA1	LOC709521	DACT1	ZNF263	LOC713016	PAK1	UGT8	DCN	GPC2	ACPL2	RAB20	NR4A3	MT3	TSPAN18	LOC697860	ADK	GALNT14	GABRQ	FMO5	LOC718467	DHX58	GREB1L	GCNT1	FILIP1L	LOC697592	LOC722165	LOC699793	SLC38A11	RPRM	AGTR1	FUT8	THBD	RGS6	NTNG1	AQP3	EMB	CPM
ARX	C9H10orf107	INTS12	LOC709169	ACTA1	MLL3	AREGB	CCDC167	TMEM65	LOC695412	KCNK1	NDC80	KLHL36	CDC42EP3	SGK3	ATXN1	COL12A1	A2M	IL1R2	CNTN6	LOXL2	ATXN2L	LOC100427184	PLK3	MERTK	ART3	RADIL	SHH	LRMP	C12H2orf88	LOC703641	CDKL1	RBMS1	CBFA2T2	HS3ST4	LOC693626	PDGFD	SETD3	FHDC1	PRDM4	KYNU	LOC713855
HDAC5	STMN2	HAGHL	TMEM200A	MAP3K5	SAT1	CLYBL	JAG2	NRDE2	PCDHA11	NEB	LOC698731	GPR153	ST6GALNAC3	MYO1D	PPP1R1B	RAD51C	P2RY12	NHS	SCGN	LOC574319	TRIB1	LOC704391	LOC721004	LOC695413	LOC721611	FLRT3	LOC697860	TXNDC5	WNK1	FOXQ1	KLK5	DEXI	SLC35D1	LOC707675	PI16	LOC721855	CD160	LOC718937	LOC100430376	RTP1	RNF125
LOC100429735	YWHAH	BOC	ARHGAP32	MYH7	ARL4D	TAGLN2	LOC708288	FSTL5	KLF9	SATB1	DDX58	C18orf10	TNKS	NCALD	PCDHA5	CCDC81	NTRK2	LOC696998	LOC100425545	ARID3B	EXTL1	C5H4orf51	TRIM49	TNFRSF19	PHLDA2	TM4SF20	GALNT14	CSRNP1	PTPDC1	TRH	SESN1	C7H14orf1	MORN3	KYNU	ATG4C	TGM2	THAP11	PDE3A	C1S	LOC716580	LOC704829
LOC698670	NDUFA9	MPP1	PHYHIPL	PLK2	LOC714810	SLC16A12	SDK1	PRPS2	ESRRG	ODZ3	LOC100430668	GDAP1L1	CDH13	LOC710159	HTR4	CD36	GPD1	ITIH2	ARL10	GPR161	LOC712844	IL12RB2	FRMD4B	BCL6B	UBTD2	CTTN	TCTE1	B3GALT2	LPCAT2	RNF43	LOC696649	LOC718143	LOC721010	DTL	LOC694854	SP8	CBLN4	NDUFA2	PDE9A2	SNX16	LRRC8D
LOC718777	CRH	LOC708447	LOC100428914	SIPA1L2	LOC715942	TEK	RHOBTB1	DNAJC7	ELL2	CTGF	HIST1H1B	DLX2	PLEKHG1	ISM1	DUSP10	TMC5	TMEM176B	LOC712599	KIDINS220	LOC718015	LOC695685	XCL1	POMGNT1	FOLR2	ADAMTS8	CHRNA5	SETD6	LBH	BOK	FGR	LOC100428522	COCH	LOC701416	MYC	ZNF326	FOLR2	DHX58	LOC695085	LOC704627	RYR3	SUCO
WNT5A	DLAT	C11H12orf23	LOC711803	LOC713147	GRIN3A	ID4	LOC700069	MYO16	PHF17	SOX5	GJA5	CYTL1	MLF1	SDK1	PTGER4	LRRC6	PRSS35	LOC709769	CCDC110	MB21D2	LOC719033	MAMDC2	LIPA	HSPA12B	BCL10	VIPR2	LOC712288	PRSS16	TBC1D15	NHS	AGBL1	LOC716232	LOC715731	MDGA2	TP53INP2	MERTK	ART3	LOC716252	LOC701416	AKAP7	FA2H
RRP8	LIX1	ZBTB34	LRTM2	DKK3	TEAD1	AIM2	PID1	LOC704606	LOC693620	WNT7B	UNC5D	LOC702759	LOC717773	LRRTM4	KCNH5	LOC712710	RIPPLY1	LOC718169	CEP70	HBEGF	SNAI3	PDE10A	CEP152	GJA5	ZNF189	SEMA5B	LONRF1	NECAB1	SPSB1	ACSS1	ZNF189	NCOA3	MAFG	SLITRK6	ANP32B	PPP1R3C	CDPF1	KCNH8	TLN2	MYC	FAM113B
LOC696295	PTPRE	LOC696872	ABLIM3	NPR3	LOC719036	SLC12A1	FTSJD2	R3HCC1	GADL1	MYH2	LOC712588	SGSM2	CELF1	THUMPD2	FBXW7	ST6GALNAC5	SKA3	HTRA1	SYT17	ZBTB34	LOC719315	TEX2	REEP3	SP8	MPPED2	ZNF469	NRSN2	ODZ1	LOC697570	APOBEC3C	DNMBP	LOC574390	TLN2	LCLAT1	VAMP7	MDGA1	USP15	CCDC136	GIT2	GRAMD2	TMEM31
GFAP	MCTP1	LOC716656	AMPH	TMEM159	KIN	GPR153	NEK6	LOC702305	CNTNAP5	LOC693737	CD46	RABL6	SNAI2	UNC45B	UNC13C	PDYN	IFI6	NR2F2	PTPRF	ADCY8	ABCC5	LOC100428592	LOC711865	LYN	GABRA2	KLF5	CECR5	NRP1	MAP4K4	BMP7	C20H16orf80	HGD	RAF1	BMP6	LOC719660	GPR124	LRRTM4	HGD	RPRD1B	LOC100424360	LOC707371
SGSM2	MAN1C1	E2F7	LRRTM3	RIMS2	C8H8orf79	ITPRIPL2	RPRML	POLR3B	LMO3	SCG2	FBXL4	ZBTB16	STX12	LOC703549	LOC100423985	LOC703950	HOXD1	LOC722617	ASRGL1	LOC706425	RAB17	ADAMTS19	SCARB2	FOXC1	DIAPH2	TNNT2	PQBP1	PPP1R1A	TBC1D12	FAM108A1	CYP19A1	UBE2E3	ABTB1	CAMK2D	LRIG3	TNFAIP3	LRIF1	POU6F2	TSHZ1	MYH13	LOC719693
GNG7	SLCO5A1	ABCA12	AP1S2	NPAS2	LOC706480	KCNS3	CNN3	EPHX1	DPP8	TBC1D8	LOC715356	LOC717999	LOC100425275	LOC714346	SRPK1	NEFM	LOC700098	LOC701872	CPXM2	IL22	ADCK3	LOC100423131	NKAP	TGFB1I1	DNAH5	CD247	POPDC2	SUSD1	LOC715695	FGFR1	PLXDC2	PTPN14	USP20	LOC100430941	LOC710188	SOX17	LOC718015	LOC706425	TSHZ2	DIP2A	LOC100423350
THRB	LYSMD4	LOC707371	PSD3	LOC722347	EZR	LOC698670	PPEF1	PTPN13	LOC100427905	PLAU	METTL7A	MICALL1	LOC100430470	LOC705656	JPH1	NAP1L5	LOC714577	EDA	LAMB1	PHYH	PDE9A2	DSC2	PTK2	GSTM3	CDC40	LOC718937	LOC717040	LRRC55	CEP152	USHBP1	SYNE1	LOC100425187	ZBTB16	AKAP7	UNC5C	TGFB1I1	LOC100424400	CHRNA5	LOC721262	SEL1L3	TJAP1
CENPA	MARCH5	CRYBA2	LOC716399	SYT6	GIT2	SNPH	C7H14orf169	IFT122	CHST8	LOC711526	LOC100430565	ROM1	RHOU	KCNH8	LOC711764	LOC100428350	IGSF1	SERPINB13	SFMBT1	CTNND1	LOC706090	CCDC81	BTBD16	TSPAN18	LOC719049	ASPH	ARMC4	LOC722327	ENPP2	LOC715793	C2H3orf58	TMEM215	ZZEF1	RAMP3	LOC100429949	VIT	CBLN1	UQCRQ	GFRA1	NLRC4	LOC703828
LOC722191	CREG1	NOX3	H2AFJ	LOC714010	GINS2	RXRA	DEF8	C7H15orf57	MMD	STX6	LOC716641	C20orf103	TPM3	PTPN13	H2AFY2	FAM163A	ABTB2	IFITM1	MARCH1	KIF16B	GCNT1	COL12A1	LOC706336	LOC100424952	ANKRD50	LOC720079	KCNAB1	SEL1L3	PIGA	PSME2	LAMB1	MRPS36	LOC706509	PPP1R1A	CDH19	C7	CBR3	COCH	NUAK2	LRRTM2	FAM177A1
EIF3F	SOCS5	NR1D1	PRDM15	GRM2	CENPF	GFAP	CCDC120	MYC	C18H18orf8	FOXP2	EZR	ASB1	MURC	HBEGF	MYH2	YPEL5	FOLR2	SLC7A3	LIPC	SHROOM3	SYNPO2	POSTN	ZNF84	ABLIM1	FAM84A	LOC694416	LOC719053	LOC704505	RASGRP3	ICAM2	MPPED2	TIAM1	AKAP8L	MAMDC2	LOC700223	SMAD6	UBL5	LOC710619	LOC697267	LOC704858	VEZF1
FHOD1	CDK9	GTPBP2	UNC13C	TNNI3K	SNCA	BCL6B	MFAP3	SORCS3	CSRNP3	LOC100425626	WSB1	LOC722115	SPON2	LOC719898	GLDC	LOC713917	FZD2	LOC718263	SYT16	AMT	PLBD2	RASSF5	KLK6	ACTG2	LOC712321	RORA	LOC697505	UGP2	TYMS	LOC707279	HEBP1	PDE3A	LOC712098	LOC720510	CNTN2	KIT	CALB1	MB21D2	PUS7	MEOX1	NDRG1
FBL	MB21D2	NFKBIA	DSC2	OMG	LOC716082	UBASH3B	LOC708998	SRPK1	LOC718993	TRPM3	SFRP1	LOC719763	DNAJA4	ARID3B	DHRS3	SSTR2	PYCARD	EIF4EBP2	SHISA2	CDH18	ATG13	LOC100423404	FAR1	LOC718040	TYRO3	TMEM132E	ZBTB16	C18H18orf34	ZNF536	SLC1A2	LOC697915	GPRIN3	LOC703159	COL24A1	PRR5L	S1PR1	FAM5B	MYO16	SRGAP2	LOC697532	SVIP
LOC718467	LOC695330	MPV17L2	LOC100429485	CRTAC1	MYO10	LOC715354	LOC716710	LOC697414	ADAMTS9	NLGN1	PAG1	SLC6A1	LOC696673	LOC718705	ZNF619	LANCL1	AHCYL1	RPL27A	LOC716031	SLC2A8	PPP1R1B	FST	LOC700223	RGS20	LOC699793	MICAL3	KHK	KRT17	GOLGA7	CHST7	LOC695923	ABCA9	RBM4B	POSTN	C5H4orf32	CYYR1	FLOT1	MYOT	STK32B	LOC716567	FNTA
ICAM2	LOC710253	RRP9	RAD50	BTD	CERK	ARL4C	MFSD1	LOC715338	ARNTL2	GCHFR	GRIN3A	PERP	LOC705519	ANTXR2	LOC100430016	PTGER3	P2RY14	LOC718307	LOC716645	PDE4B	LOC696983	LOC718424	HN1L	KLF4	LOC716645	L2HGDH	LOC695487	INSM2	CD44	RXRA	76P	SNTG1	HS3ST2	RHEB	LOC100423085	F13A1	LOC713349	RDH12	TMEM201	DCAF12L2	ZDHHC9
GPR153	LOC100423625	MYF5	KLHL1	DAZ2	CALD1	FILIP1L	PRPSAP1	MCRS1	PSD3	OPRK1	TEAD1	ACTA2	DCAF5	TAC1	COL5A2	AVIL	CX3CR1	BMX	LOC723075	SMAD3	MC4R	ARHGAP22	SUCO	C1H1orf21	PDLIM1	LEPREL1	E2F7	EFCAB3	TPPP3	RAMP2	PIP5K1B	MEF2A	KSR1	LOC709886	KCNJ2	RXRA	GALNTL4	LRRTM1	LOC100425589	OPRK1	ZNF326
MSN	THBS1	PTGFRN	LOC100423350	PEX5L	LOC693481	TMEM132C	MAGED2	LOC709192	LOC696983	C6orf105	LOC700889	LIX1	LOC707094	RARB	LOC714427	GRM2	SDC4	TEK	PEX5L	SLC12A8	LOC713644	LOC699649	SHROOM4	PVRL2	CNOT6	MYCL1	LOC710358	LAYN	SLC48A1	LOC722617	CA10	LOC100430361	KIAA0100	DNAJC10	CA14	ITIH2	LOC715195	ENPEP	RAB17	CA3	TNFAIP6
DLX2	RHOU	LOC713129	BLVRB	AKAP2	LOC100425520	MAB21L1	NUP93	DHX57	RDH11	NFIA	LOC713647	GLTSCR2	BNIP2	LOC712512	ADORA1	LOC100430346	LOC706574	LYN	GPR64	WNT16	MID1	DNAH6	IKBIP	PEAR1	LAMB1	L3MBTL3	C15H9orf89	LOC705851	GALNT6	TES	LOC703201	LOC707904	HERC2	WDR17	RNF125	HKDC1	COG7	EXTL2	TNNT2	ODZ3	RTKN
SULT1E1	LOC694924	PPP1R1B	PTGER3	RASGRP2	TMTC2	CNTNAP4	TLE3	CENPM	LOC710236	LOC706007	LOC704762	ESM1	TBC1D12	LOC716854	PELI2	CD1D	NMNAT3	PTGS1	VPS37B	LOC719479	ZNF498	TG	NEU4	GALNTL1	NAE1	LOC716252	MAGI1	STXBP5	LOC709612	CCDC19	LOC694670	NTNG1	AZI1	TLE4	LOC100425286	PLAU	LOC709320	LOC713540	RHOBTB1	AIMP1	C10orf72
ST6GALNAC2	ROCK2	OR6M1	B4GALT6	LOC100429791	ZKSCAN2	DNMT3B	SFT2D2	LOC100429784	GLDC	ADCK3	CDK12	EIF3H	TTF2	LOC100426768	JAKMIP2	CCNA1	S100B	COL1A1	LOC696417	SEC14L1	TBC1D8	SPR	EXOSC10	SOX13	TMEM196	TMEM215	LOC719963	DSC2	LOC710257	NR2F2	OPTN	FLRT3	LOC717514	LBH	LASS2	PODXL	ETV6	LOC100429551	LOC708898	KLHL5	UNC5C
CXCR7	TOP2B	FERMT1	WAC	TMEM17	HEXB	IGF1	STK32B	FLRT3	SOCS1	OMG	CENPF	LOC699779	ADRA2A	CYFIP1	LOC100428292	LOC704750	GPR34	PTGER2	SVEP1	DDX1	APOL6	B3GALT2	RBM7	LOC709676	TAF7L	FREM3	FABP5	LOC716580	LOC711865	LOC712033	WFDC10A	UCN	C15H9orf89	PHOSPHO2	CLCA2	BCL6B	NAGPA	LOC712305	C8H8orf79	ZC3H15	LOC100423261
TSR2	MLLT4	SAV1	KLF9	GPR37	YTHDC1	ZIC2	HSD17B10	PTGFRN	COG5	FBXW9	CNKSR3	IGBP1	ATP8A2	KALRN	IL34	EPB41L3	C3AR1	LOC700257	HSD11B1	PRDM1	PTGFRN	HCLS1	LPAR4	LOC716433	ACVR1C	LOC719508	MARK3	GADD45A	PTK2	MMP15	METAP1	MYLK	LOC707129	GRSF1	EPB41L4A	FGD5	ZBTB46	ATP8B1	ATP2B4	RASL11B	PSEN1
GATSL2	SF3B1	RDM1	WBP11	COG5	LOC100425589	MSN	SLK	CREBBP	LOC712844	GNG8	TGIF1	APLNR	VIP	HERC3	LOC715864	PDE4D	ACBD7	MKI67	CYLD	LOC710690	SLC26A4	TDRD9	BCAS1	F3	TYW1	C13H2orf40	CD4	TSPAN5	HN1L	SEMA4B	DIAPH1	MET	GTF3C5	KBTBD10	TMCC3	ABCB1	GALNT13	NOX3	DAZ2	LOC704505	TP53INP2
LPAR1	PTPRZ1	LOC704104	FEZF2	SV2B	LOC713954	EGLN3	EIF4A1	GSTCD	LOC100427489	PDGFC	CWF19L2	C4H6orf106	DPYD	LOC709463	SHH	FAM20B	ITGB8	LOC695413	SH3PXD2B	TRPM3	ZBTB16	LOC699880	LOC718143	MEF2D	LOC100426700	FAM162B	MFI2	RAMP3	CDKN1C	SIRT5	SPATS2L	SHISA3	ST6GAL1	IL13RA2	TMEM87A	ZCCHC12	BUB1B	CCDC149	ST6GAL1	MEOX2	EMILIN2
C7H15orf52	MED4	ZNF193	LOC722716	WDR66	ZNF704	DIO2	LOC100429709	PDE4B	ETV6	UGP2	CBFB	CXHXorf57	LHX2	TGFB2	C9H10orf90	FAP	CSF1	RPS13	RIT2	LOC100427469	SUPT5H	IFT57	LOC100425286	ACSS1	LOC707118	EEPD1	SPAG4	DIP2A	TMCC3	SLC12A1	LOC709320	PANK1	CMTM8	ODZ3	LMBRD1	CYP1B1	RFTN1	COMTD1	MGLL	C13orf36	LOC717481
PNOC	RAVER2	FH	LOC697171	SEMA3E	PIAS1	LOC100426615	MB21D2	PPP1R1B	AMPH	ADAMTS3	UNG	PDZD4	DEPDC1B	LOC719616	CYP1B1	ODZ3	GLI3	C8H8orf4	EML1	MEF2A	LOC698659	NT5DC1	HOOK3	CLEC1A	PDZK1	HR	PPEF1	CYP26A1	SAP30	GSTM3	MCOLN1	LOC719748	AMIGO2	TNFRSF21	PTK2	TBX18	TSPAN5	LOC722085	SPATA22	LOC702097	FOXN2
RIPK4	CFL2	LRFN2	LRFN5	LOC699459	TTC37	LOC722771	SPRYD4	HIST3H2A	PLCXD3	ASIC2	SKA2	LOC720960	SLITRK2	ITGBL1	UBE2E2	WDR19	WIPF1	LOC719492	LRRTM4	GTF3C2	CCNY	SSTR2	ENPP6	LOC100428736	PLAG1	BUB1B	CCDC130	TLE4	LOC697334	LOC707708	USP15	RET	CDK10	PRKCG	KTN1	SAT1	LOC718240	WWP2	SNIP	CREM	RNF141
FAM108A1	BMPR1B	LOC718424	ITM2C	MDGA2	ARHGAP19	LOC697915	STMN2	CDH9	TRIB1	FEZF2	FGFR3	NHS	SEC14L1	LOC706392	MAMLD1	B3GNT1	PDLIM3	RAB38	LOC702072	PML	ZNF792	EPHB3	SMARCA5	SDS	LOC696649	WWP2	HEXIM2	PTPRU	NDE1	RLBP1	LOC100429055	SLC46A3	LOC721627	EIF4E3	FIS1	AGAP1	DCAF4	LOC711847	THRAP3	YAF2	SLC22A23
CBX6	FBXO21	RPUSD2	LOC702855	FGF14	GAS2L3	TP53INP2	LOC715459	MACROD1	ZMYND11	CRYM	LOC714181	GPC1	LOC694524	LOC695968	XPO4	MYO1E	DGKB	LOC100423109	RNF150	UCN	CCDC60	LOC713016	RTKN	GATA2	GGCT	R3HCC1	GABRA5	BIRC3	ZNF84	WFS1	LOC718015	HOMER3	C10H20orf195	CDH24	ENPP6	FBLN5	LOC100428522	MAEL	DDX56	GRSF1	C3H21orf91
LOC714113	TRIT1	ABT1	ZNF7	ARHGEF3	SLC1A2	APLNR	MDGA1	DPM2	LOC705288	CCDC3	ZNF217	TRAF7	TACC2	UFM1	RUNX1T1	TRHDE	CPXM1	TMEM204	DPP10	CALB1	SPSB3	MORN3	ERAP1	CPLX3	LOC100428914	SRPK3	LOC719033	ADAMTS19	CDKN2C	ABHD2	SLITRK2	SLC25A37	CCDC22	LOC719082	HOXD1	LOC709951	PSRC1	LOC722206	TMEM200C	TLE4	LOC716978
MAP2K2	C5H4orf43	TMEM101	C4H6orf108	HS3ST4	SLC8A3	HEY2	PRDM4	ASPHD2	CRHBP	DIO3	LOC722397	COL3A1	TPBG	NPNT	ARNTL2	KIF21A	LOC715356	LOC700603	RAB3GAP1	TRIM13	C8H8orf46	LOC708263	LOC713032	SGSM2	LOC709695	OSBPL2	ZFP64	LOC718265	GCOM1	CARD10	USP43	ATP8B1	LOC713878	CSRNP1	LOC696911	PTN	LOC100424549	PHACTR2	SHH	ASAP2	PRR5L
